file_name,camera,crop_left,crop_top,crop_width,crop_height,source,model_score,model_bbox_xywh,heuristic_bbox_xywh,heuristic_trust
cam-1_ts1763100100504.jpg,cam-1,305,430,1200,900,model,0.2557,"832,500,146,188",,
cam-1_ts1763100101035.jpg,cam-1,473,430,1200,900,heuristic,,,"1042,506,62,188",0.8659
cam-1_ts1763100101204.jpg,cam-1,477,430,1200,900,model,0.6216,"1052,1062,51,180",,
cam-1_ts1763139805403.jpg,cam-1,278,430,1200,900,heuristic,,,"871,531,13,148",0.9773
cam-1_ts1763139805786.jpg,cam-1,274,430,1200,900,heuristic,,,"868,1150,12,93",0.5436
cam-1_ts1763183508583.jpg,cam-1,636,430,1200,900,heuristic,,,"1199,1035,73,105",0.4709
cam-1_ts1763183508641.jpg,cam-1,565,430,1200,900,heuristic,,,"249,515,9,41",0.2377
cam-1_ts1763183508966.jpg,cam-1,505,430,1200,900,model,0.3119,"1079,1067,53,178",,
cam-1_ts1763348176120.jpg,cam-1,436,430,1200,900,heuristic,,,"1031,1134,10,22",0.4417
cam-1_ts1763357799648.jpg,cam-1,1248,430,1200,900,heuristic,,,"2354,1032,65,98",0.4653
cam-1_ts1763358201047.jpg,cam-1,1248,430,1200,900,heuristic,,,"1785,1033,151,105",0.3385
cam-1_ts1763381739709.jpg,cam-1,537,430,1200,900,heuristic,,,"248,512,10,46",0.2369
cam-1_ts1763392560570.jpg,cam-1,468,430,1200,900,heuristic,,,"2266,546,64,62",0.2901
cam-1_ts1763392560645.jpg,cam-1,1248,430,1200,900,heuristic,,,"2434,532,14,81",0.4939
cam-1_ts1763392560769.jpg,cam-1,1248,430,1200,900,model,0.386,"2363,544,48,138",,
cam-1_ts1763392560841.jpg,cam-1,1248,430,1200,900,heuristic,,,"2385,514,52,176",0.9043
cam-1_ts1763392561147.jpg,cam-1,1248,430,1200,900,model,0.3537,"2271,504,63,224",,
cam-1_ts1763392561513.jpg,cam-1,0,430,1200,900,heuristic,,,"333,506,21,150",0.8885
cam-1_ts1763392568068.jpg,cam-1,551,430,1200,900,heuristic,,,"612,506,130,81",0.1138
